epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.409,2.19917,2.12499,2.31662,0.4445,0.38277,0.34914,0.16986,1.72372,1.41308,1.58939,0.000370037,0.000370037,0.000370037
2,456.145,1.73311,1.39155,1.54274,0.4487,0.41496,0.36744,0.19054,1.6253,1.27117,1.47249,0.000725711,0.000725711,0.000725711
3,681.569,1.66742,1.29002,1.46895,0.48471,0.43844,0.40728,0.21925,1.55574,1.17266,1.4141,0.00106672,0.00106672,0.00106672
4,906.38,1.62358,1.22713,1.4252,0.49559,0.44973,0.42531,0.2288,1.53802,1.12018,1.38544,0.00104501,0.00104501,0.00104501
5,1131.96,1.57996,1.17332,1.38999,0.53464,0.45536,0.4514,0.24973,1.50407,1.0921,1.36008,0.00102301,0.00102301,0.00102301
6,1357.38,1.55551,1.14054,1.36986,0.55162,0.44762,0.47914,0.27064,1.49264,1.07181,1.3347,0.00100101,0.00100101,0.00100101
7,1584.02,1.5404,1.11615,1.34961,0.56359,0.46356,0.49917,0.28507,1.47517,1.04121,1.32165,0.000979013,0.000979013,0.000979013
8,1811.45,1.53531,1.104,1.3355,0.60422,0.46894,0.5178,0.30199,1.46565,1.01763,1.30604,0.000957015,0.000957015,0.000957015
9,2038.27,1.51278,1.08259,1.32005,0.58923,0.48218,0.51957,0.30047,1.47199,1.0277,1.30102,0.000935018,0.000935018,0.000935018
10,2265.86,1.51463,1.07127,1.30853,0.60223,0.49034,0.53759,0.31289,1.45387,1.00254,1.2864,0.00091302,0.00091302,0.00091302
11,2493.84,1.50269,1.06018,1.29973,0.61611,0.48786,0.5385,0.31348,1.44756,1.00671,1.28303,0.000891022,0.000891022,0.000891022
12,2721.6,1.491,1.04696,1.28972,0.64505,0.48667,0.54656,0.32326,1.43235,0.9856,1.27648,0.000869024,0.000869024,0.000869024
13,2949.79,1.48218,1.03409,1.28256,0.63617,0.49308,0.55464,0.32983,1.4305,0.9716,1.26583,0.000847026,0.000847026,0.000847026
14,3178.59,1.48249,1.02858,1.27838,0.63892,0.50784,0.56519,0.33621,1.42675,0.96449,1.26313,0.000825029,0.000825029,0.000825029
15,3407.15,1.46964,1.01544,1.26792,0.62798,0.51386,0.56968,0.33979,1.41929,0.95388,1.25766,0.000803031,0.000803031,0.000803031
16,3636.05,1.46971,1.01115,1.26427,0.65692,0.49939,0.56918,0.33866,1.42084,0.95522,1.25619,0.000781033,0.000781033,0.000781033
17,3864.2,1.45765,0.99718,1.25605,0.64426,0.50289,0.57217,0.34148,1.4181,0.94843,1.25205,0.000759035,0.000759035,0.000759035
18,4092.47,1.4521,0.99143,1.25246,0.65396,0.52119,0.58319,0.34657,1.40998,0.93962,1.24896,0.000737037,0.000737037,0.000737037
19,4321.13,1.44824,0.98508,1.2474,0.65286,0.51636,0.58082,0.3472,1.40871,0.93345,1.24666,0.00071504,0.00071504,0.00071504
20,4549.81,1.44024,0.97607,1.24657,0.65637,0.52153,0.58774,0.35425,1.40305,0.92527,1.23982,0.000693042,0.000693042,0.000693042
21,4778.77,1.44104,0.97618,1.24208,0.65836,0.52138,0.58818,0.35299,1.39875,0.92325,1.23597,0.000671044,0.000671044,0.000671044
22,5006.58,1.4324,0.96466,1.23522,0.66048,0.52885,0.59532,0.35689,1.39589,0.91467,1.23185,0.000649046,0.000649046,0.000649046
23,5234.3,1.43016,0.96023,1.23322,0.67252,0.52816,0.59815,0.36037,1.39495,0.91275,1.23269,0.000627048,0.000627048,0.000627048
24,5462.04,1.42707,0.9552,1.22931,0.67324,0.52411,0.59768,0.36212,1.38975,0.90964,1.22789,0.000605051,0.000605051,0.000605051
25,5690.24,1.42325,0.95126,1.2272,0.67668,0.52425,0.60138,0.36348,1.38959,0.90379,1.22829,0.000583053,0.000583053,0.000583053
26,5918.66,1.41598,0.94466,1.22255,0.68791,0.52605,0.60562,0.36675,1.38874,0.89881,1.22551,0.000561055,0.000561055,0.000561055
27,11113.8,1.41242,0.93524,1.22309,0.68054,0.53765,0.60737,0.36888,1.38596,0.89824,1.22232,0.000539057,0.000539057,0.000539057
28,11326.4,1.4093,0.93037,1.21719,0.68529,0.5303,0.60704,0.36933,1.3822,0.89014,1.22048,0.000517059,0.000517059,0.000517059
29,11548.3,1.40894,0.93153,1.21647,0.66497,0.53919,0.60638,0.36973,1.3822,0.89212,1.21815,0.000495062,0.000495062,0.000495062
30,11773.8,1.40201,0.9226,1.21218,0.68292,0.53886,0.61021,0.37153,1.37864,0.8866,1.21566,0.000473064,0.000473064,0.000473064
31,12004.3,1.4008,0.91785,1.20692,0.69042,0.53683,0.61454,0.37238,1.37838,0.88171,1.21507,0.000451066,0.000451066,0.000451066
32,12234.1,1.39184,0.91017,1.2045,0.68419,0.54366,0.61819,0.3755,1.37655,0.8777,1.21311,0.000429068,0.000429068,0.000429068
33,12463.6,1.38976,0.90585,1.20332,0.68664,0.54827,0.6187,0.37499,1.37368,0.87696,1.21317,0.00040707,0.00040707,0.00040707
34,12695.1,1.38982,0.90379,1.20163,0.68969,0.54597,0.62089,0.37585,1.37751,0.87701,1.21513,0.000385073,0.000385073,0.000385073
