epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.615,1.43898,1.08374,1.1657,0.57075,0.46667,0.49458,0.27935,1.46272,1.05459,1.16815,0.000370111,0.000370111,0.000370111
2,1109.26,1.44998,1.06957,1.17618,0.61861,0.4853,0.53141,0.30595,1.43904,1.00856,1.16948,0.000722119,0.000722119,0.000722119
3,1665.44,1.44583,1.04747,1.16973,0.6098,0.4952,0.54342,0.31986,1.41093,0.98772,1.15008,0.00105579,0.00105579,0.00105579
4,2222.53,1.42018,1.01136,1.15646,0.6308,0.53091,0.57259,0.33562,1.38514,0.95282,1.13836,0.00102851,0.00102851,0.00102851
5,2776.74,1.39884,0.9797,1.14275,0.63916,0.5218,0.57263,0.33989,1.39017,0.94585,1.13078,0.00100101,0.00100101,0.00100101
6,3329.92,1.39028,0.96232,1.13917,0.65382,0.54209,0.5971,0.35973,1.37222,0.92102,1.11795,0.000973514,0.000973514,0.000973514
7,3886.97,1.37524,0.94001,1.12751,0.67171,0.54682,0.61504,0.36913,1.36033,0.89162,1.11616,0.000946016,0.000946016,0.000946016
8,4421.23,1.36873,0.92493,1.11899,0.67182,0.55444,0.61654,0.37382,1.36208,0.88777,1.11036,0.000918519,0.000918519,0.000918519
9,4958.56,1.35534,0.90907,1.11549,0.68316,0.5512,0.61919,0.37464,1.35511,0.88229,1.11054,0.000891022,0.000891022,0.000891022
10,5508.92,1.3517,0.89863,1.11148,0.69044,0.56021,0.63279,0.38322,1.35411,0.86426,1.10317,0.000863525,0.000863525,0.000863525
11,6058.81,1.34406,0.88898,1.10802,0.68061,0.57314,0.633,0.38512,1.34167,0.85872,1.10161,0.000836027,0.000836027,0.000836027
12,6608.32,1.33855,0.87884,1.10347,0.68987,0.5664,0.63724,0.39011,1.34159,0.85139,1.1001,0.00080853,0.00080853,0.00080853
13,7157.86,1.33154,0.87148,1.10089,0.70865,0.56346,0.64449,0.39309,1.32624,0.83649,1.09447,0.000781033,0.000781033,0.000781033
14,7713.14,1.32277,0.85667,1.09582,0.70504,0.58525,0.65532,0.40074,1.32445,0.83077,1.08887,0.000753536,0.000753536,0.000753536
15,8265.46,1.31536,0.84943,1.09179,0.70417,0.58863,0.65572,0.40094,1.32543,0.82504,1.09029,0.000726038,0.000726038,0.000726038
16,8815.96,1.31503,0.84748,1.09058,0.70053,0.59,0.65472,0.40352,1.32375,0.82388,1.09032,0.000698541,0.000698541,0.000698541
17,9366.78,1.31078,0.83888,1.08551,0.72114,0.58321,0.66413,0.40984,1.31861,0.81478,1.08484,0.000671044,0.000671044,0.000671044
18,9915.99,1.30201,0.82799,1.08106,0.7161,0.58229,0.65865,0.4054,1.31859,0.8169,1.08248,0.000643547,0.000643547,0.000643547
